"","BAU","INTERIM","DIRECT","INDIRECT","BAU1.1.1","BAU1.1.2","BAU1.1.3","BAU1.1.4","BAU1.1.5","BAU1.1.6","BAU1.1.7","BAU1.1.8","BAU1.2.1","BAU1.2.2","BAU1.2.3","BAU1.2.4","BAU1.2.5","BAU1.3.1","BAU1.3.2","BAU1.3.3","BAU1.3.4","BAU1.3.5","BAU1.3.6","BAU1.3.7","INTERIM1.1.1","INTERIM1.1.2","INTERIM1.1.3","INTERIM1.1.4","INTERIM1.1.5","INTERIM1.1.6","INTERIM1.1.7","INTERIM1.1.8","INTERIM1.2.1","INTERIM1.2.2","INTERIM1.2.3","INTERIM1.2.4","INTERIM1.2.5","INTERIM1.3.1","INTERIM1.3.2","INTERIM1.3.3","INTERIM1.3.4","INTERIM1.3.5","INTERIM1.3.6","INTERIM1.3.7","DIRECT1.1.1","DIRECT1.1.2","DIRECT1.1.3","DIRECT1.1.4","DIRECT1.1.5","DIRECT1.1.6","DIRECT1.1.7","DIRECT1.1.8","DIRECT1.2.1","DIRECT1.2.2","DIRECT1.2.3","DIRECT1.2.4","DIRECT1.2.5","DIRECT1.3.1","DIRECT1.3.2","DIRECT1.3.3","DIRECT1.3.4","DIRECT1.3.5","DIRECT1.3.6","DIRECT1.3.7","INDIRECT1.1.1","INDIRECT1.1.2","INDIRECT1.1.3","INDIRECT1.1.4","INDIRECT1.1.5","INDIRECT1.1.6","INDIRECT1.1.7","INDIRECT1.1.8","INDIRECT1.2.1","INDIRECT1.2.2","INDIRECT1.2.3","INDIRECT1.2.4","INDIRECT1.2.5","INDIRECT1.3.1","INDIRECT1.3.2","INDIRECT1.3.3","INDIRECT1.3.4","INDIRECT1.3.5","INDIRECT1.3.6","INDIRECT1.3.7"
"11",1,3,2,4,200,0,319.03241795237,341.530720134888,0,0,0,0,183.625114790691,94.6117626265449,0,0,0,12.4210708092244,2591.63620761731,2964.5945713765,0,0,0,0,30.2198508213162,27.7799098534146,13.2072774085996,7.87074425399226,84.4229022186284,246,238.708242432565,219.083162369977,26.1423020755844,3.60185342053528,2.42243448349227,183.711994383722,224.572407344225,16.5253599995471,488.906607073597,559.401843628329,113.955685200938,20.7657101450494,277.159495562084,10.8237972882756,33.0652749555766,0,7.55383443902528,11.5377510900819,77.7460256923661,246,0,0,26.4202383841407,4.20293880928722,2.84192246021054,146.867863622072,0,16.9136682765938,518.836868242506,647.945583856479,93.8490119184399,19.0244484772826,894.644713584929,12.3601077849349,32.4847181104958,30.1810491595522,11.4788755798634,7.43818863582828,76.1583847088012,390.926821144407,28.4061671305302,7.64063355891581,23.9398929568592,4.81256389135268,5.10744215787041,181.182857604001,232.521371680323,17.0806507039291,544.856030099084,516.222622851176,110.861247868386,20.9964594779593,1111.981171679,22.025141608806
"12",1,3,2,4,200,0,217.573477193938,247.222520562104,0,0,0,0,154.300599778017,101.137632336383,0,0,0,13.0958323966502,2497.89192459714,1266.95840294131,0,0,0,0,33.1033288674953,25.8667821203248,8.98562513031911,9.53948895355221,36.2752024725043,246,360.381729721392,239.366014056033,21.9208819334173,2.66948159538196,2.10402052958897,188.116311206187,265.709576942081,16.6107919850848,478.036918322572,262.081649696697,54.1291037533817,14.909093865511,255.153440436314,9.5470433872868,28.6479907190819,0,3.75572510973238,-0.844147118196624,77.7389415085024,246,0,0,21.5941805611174,3.06281860145597,1.5521592572765,202.524344080922,0,16.5746576643853,486.634157547948,427.52559531923,77.8928311647593,27.7608022774263,794.35672328416,11.6144772906461,28.3396189694131,24.2398259363393,5.34104662778058,3.24865940053944,49.6359603070395,372.460769069407,43.0976842158056,11.1107156903221,22.0475141549173,2.71247667057974,3.88815164244407,197.795494568368,300.295414709317,16.5029244198656,494.126268941662,441.067549556135,27.3552364870392,17.1573346852157,1483.89311706541,31.4156097893553
"13",1,3,2,4,200,0,297.998412312113,260.878110212298,0,0,0,0,168.980855656315,66.8166924556245,0,0,0,11.9644340689068,2483.50912559081,3684.11959220055,0,0,0,0,32.0519016010879,30.4797544824531,5.02015657023254,7.45114978561511,50.3950636501428,246,294.315994146542,209.778037265307,22.9313852157618,2.7879490987754,1.59239063791991,209.815401642051,227.83006642802,16.498595828541,473.940485353076,638.41892694836,104.173697208298,15.2216210487152,258.11011639929,9.8991233297476,26.9758355462578,0,7.6851923645471,8.2633976404606,59.2059195076006,246,0,0,24.5880205109405,2.67161296067689,1.97736908398172,190.857284894832,0,16.4973127135987,487.04507296106,541.16790346519,120.660981860845,25.9530114271337,789.308275594836,13.2402781216842,27.1488871262309,25.6946665347114,9.83226561347672,8.9583188047397,97.9291297597106,350.979392432118,8.4880350897947,11.5410822063199,23.1031074650364,3.30576110213436,4.50320997181946,437.299758016231,227.955486185495,16.5628365208893,500.730512887759,484.439224187523,0.278366393303955,19.2264332691954,909.069130548741,30.6351143185237
"14",1,3,2,4,200,0,264.946745248481,362.862139204728,0,0,0,0,182.151776619762,83.7546670636227,0,0,0,12.7092823002295,2547.33001091489,3194.28681137448,0,0,0,0,29.0546147457669,30.4434032286534,6.37415757888193,7.84038788046976,38.5178713567915,246,313.530127567413,201.095036979341,24.5143722042613,2.19248932306905,1.72405925740602,202.218512138479,271.214067915638,16.3685701974418,475.007353399255,601.654503771384,118.916514500262,17.082602755338,254.97029155966,10.0054332932487,27.2937375377621,0,4.33807362783086,10.4442315510388,23.372625639907,246,0,0,22.4725913453606,2.04161736886406,1.75822900904242,221.117196878399,0,16.3508398903598,477.814688886362,483.703206009684,131.526038447344,20.5248071824408,919.076189997876,14.7155399403176,29.9991055832262,28.2541397807837,4.22357073803834,4.70874567591446,82.6575225435735,427.110239907805,21.3133580836206,3.4623032692489,25.2529388733907,2.90890437440454,2.96680509032541,370.334221802108,238.104291418568,16.4709062906097,490.037386579936,857.498213195921,60.4941940733429,23.203570628466,1073.57993971626,18.8455942198328
"15",1,3,2,4,200,0,224.360231670313,351.510395565261,0,0,0,0,162.176208776292,79.0444023758053,0,0,0,12.1466067785881,2421.04661330159,2361.63405116082,0,0,0,0,26.7236167703117,28.5543228117364,5.53532599201495,9.91628063695873,53.8805038719569,246,244.81203016789,268.090157793931,23.7250664049401,2.74889024955877,2.0166914903314,188.501708050705,269.082962266297,16.3688688270811,470.370510194286,611.633472114946,71.6903092622049,21.8671003324029,269.448756530883,9.26397955308528,31.5095585122967,0,4.58769016575923,5.14390093663128,58.7613920425222,246,0,0,22.3221978367349,2.59589679891811,2.38624667734114,179.665556607376,0,16.4709314824871,478.58550687922,377.20621256207,117.139710480553,18.8557394450831,1003.64618594035,14.4639461262552,33.2872975603026,33.2239415817756,4.4433795849872,10.2649887266234,58.1006773712853,315.172322941794,20.6392128550995,6.75056204557796,20.3751754445468,3.08408353709533,4.38763248312458,396.898867400391,256.223210168602,16.5067195526891,490.140246893793,380.93125326731,90.4103560941386,14.7492249586069,1175.08312024438,19.7965007878301
"16",1,3,2,4,200,0,273.251083464048,307.754807241558,0,0,0,0,191.115584834909,109.71629712861,0,0,0,13.5688814671071,3196.8226798859,4728.02232172827,0,0,0,0,32.7235992688629,26.9190466201143,12.5234171940833,14.7850532250782,40.3226440922139,246,272.147879568671,232.477418945657,25.2046921065987,4.30564448209453,1.73579203506157,188.651040827968,301.645682887789,16.9451939658529,524.700397170315,588.048144320536,105.965335700724,17.2143247987362,270.674954214227,10.9582249646305,28.8824300619655,0,10.7284166547317,11.8601467436484,83.9979741219138,246,0,0,23.493553332372,5.15084676525266,1.62142113609243,204.849949587587,0,17.1555086844865,557.194529519689,628.937368622067,185.860760441266,21.7002952357222,691.123980596323,18.333944405639,35.9361371754241,32.1852543526296,13.4198019825651,15.0611038004782,39.3846481747936,393.555654215177,-5.75990435932123,5.60763225041405,27.7253308284104,6.22401171992239,3.57321010356317,407.8839253616,267.217704073181,17.5405660877835,604.979911391552,602.546788447581,64.4415673371402,22.3751782899991,885.62915326637,22.9260220951629
"17",1,3,2,4,200,0,337.351387235088,201.247023498719,0,0,0,0,158.890543778827,91.0939159208964,0,0,0,12.3623888181628,2480.61853241357,3682.32128923352,0,0,0,0,32.2388238048798,28.7715258522311,7.95191930366185,9.64935686980979,43.8154571261808,246,255.490708476218,231.674484836239,23.3989849030149,2.91736083956989,2.40597423513842,183.216064148496,255.468870558825,16.4135256041592,477.422603454803,386.340964622737,65.2680154146853,14.8391782458327,252.838533448413,10.01678122965,28.1913788368091,0,5.31771055688324,4.04113298605642,83.6552860560531,246,0,0,24.4716307822232,3.38924236020499,2.01632665648302,164.866920991488,0,16.5731338232167,489.107638261203,438.590067160525,101.624946827415,24.5819668231534,1027.94440263499,15.5568019268793,31.4283618237202,35.6727957152675,10.1798150890129,9.62878981150775,82.4337346614905,321.309515116886,34.2602554424897,8.05523933613508,22.7950778258611,3.4437761670275,3.47551199480647,407.251468486313,254.355911550619,16.6170777935566,503.572630590089,336.347583840905,72.8540268940062,19.1444875863464,1242.4345415285,24.011553984063
"18",1,3,2,4,200,0,185.947136833241,311.36017260064,0,0,0,0,176.641628870099,81.0018266073567,0,0,0,12.1185624142973,2576.13520404752,3188.26429875795,0,0,0,0,29.3830031591213,35.0672700793891,7.42211568833397,8.5741005474034,48.0454826670637,246,298.248422947629,210.596435577353,23.873159868217,3.10030496994313,2.05003134593434,150.118776505874,338.574148258484,16.5179271654039,481.321475571107,349.433991631909,92.9695382910373,13.591899005464,297.800084768806,9.52167986215708,31.4077735079579,0,11.1359759132692,5.62113406444972,72.4504027933691,246,0,0,24.253370335615,2.55886482536802,2.08936818600446,154.81893857013,0,16.4667566847384,488.114905766648,461.997342270396,101.513916334387,22.3334616485385,1123.0785132455,14.6340390707962,27.2152808855103,26.4400993248142,6.93836955699257,6.22565749453133,49.2925340874288,312.29691253219,5.88702091019027,3.41459874027373,21.4167811173307,2.7046619555836,4.75299344502537,459.386360945633,203.505321441936,16.5164612603035,494.805843046366,311.235152933347,40.0586454612543,15.378572640771,1020.38158812647,30.1341280216265
"19",1,3,2,4,200,0,230.848750248061,283.502845783555,0,0,0,0,166.446753636853,61.8536494334566,0,0,0,12.1791324330488,2507.42220970295,4141.76391656995,0,0,0,0,28.3668125071253,34.793832473156,10.1768937743756,3.11347256982007,35.3053043738734,246,305.147800924622,280.845700704224,24.7829662374808,2.00038542098262,2.773360768685,175.268260481284,388.957655128686,16.2737163589558,471.997246487182,260.785662479415,119.966692407282,15.0110187761681,303.1394914183,10.8505429444098,29.6511524931179,0,3.47599548975489,9.39327310702241,27.3684017366226,246,0,0,21.2854428678366,2.61178743599723,2.28629508919295,206.042193551386,0,16.3871491260326,476.379823630689,414.397046208853,150.161623228759,30.4897231390355,899.237601256754,17.7172020756276,33.1676613992809,31.7207512210202,5.19210772960723,7.26334867316037,36.5190388612626,317.942430004265,66.1777380199445,14.7154728168781,24.9467330707507,2.57859090265966,5.70410278953797,385.474010275954,364.097212857378,16.4912150349642,482.829473394287,396.402807690108,122.904814268488,17.1951836900677,1538.8886095448,28.1298554210531
"20",1,3,2,4,200,0,367.522984810157,371.991234843888,0,0,0,0,190.545946008322,101.326005056335,0,0,0,12.7321107300153,2693.87848401428,4770.6390861062,0,0,0,0,26.4933412676896,33.1925114224162,10.2925434403328,11.8737008793141,48.5577876202124,246,253.726483682457,199.466872349072,25.6078489958504,3.37394341838847,2.01199207858861,239.4604602959,283.878699839235,16.6777763441002,498.175261322795,821.22316379614,121.439735117883,16.6170139061183,270.840393613315,9.29494366216711,26.1939538908574,0,12.9222959446633,9.24685410098648,56.4535250577316,246,0,0,25.0607160597226,4.16669819063735,2.57437899391446,189.008434318707,0,16.948946832307,527.871700948788,727.210999817122,64.1533439690653,25.2628905465137,1077.63347878824,18.2131681458195,27.1295409172836,28.3730272575202,12.1148857804462,11.2101259452359,14.258024480944,368.752185703059,22.4634873172192,9.25633269544564,27.2906610986601,5.31192804607323,3.93312328402762,418.425288578964,288.023799242873,17.1004177864287,554.171672333442,720.565777877499,92.8307350974958,20.5133008810611,930.58893475729,24.6681952813118
